address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_active,last_active,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
1Hx5nocma5UUi5fSHdWiGx71o5hv4sFBmf,1.25,1.25,0.0,1,1,1,1,1.25,1.25,2016-06-06T01:24:00Z,2016-06-06T01:44:18Z,1.25,1.25,1.24976449,0.00023551000000000003,0.0,0.62476449,1.0,1.0,1.25,1.25
1HXaGG5JqVfMxBDjp1ZxTPcx8f6tT86BK4,1.00005,1.00005,0.0,1,1,1,1,1.00005,1.00005,2017-04-25T09:29:56Z,2017-04-25T09:39:59Z,1.00005,1.00005,0.9997453,0.0003047,0.0,0.4997203,1.0,1.0,1.00005,1.00005
1HxAmgKsykPWpXAjq7oqwFUZoHduV5xQJa,4.0,4.0,0.0,2,2,10,3,2.0,2.0,2016-08-08T00:53:41Z,2016-08-12T05:51:29Z,2.4549242574524217,0.0002905534815064803,3.991010222694733,2.661111111111111e-07,0.8031397546076152,1.4866929568300193,0.5,0.5,1.0,1.0
1HxdMwwAgaYLbqTdd195jtPnb7hyxxP54N,1.2,1.2,0.0,1,1,1,2,1.2,1.2,2016-06-09T00:52:56Z,2016-06-09T07:11:27Z,1.2,1.2,1.1675,7.410625e-05,0.0,0.5428651441126124,1.0,1.0,1.2,1.2
1HXEb9sDcGmLR29bMbTeFnvHPdeSrKZBsu,2.0,2.0,0.0,1,1,5,2,2.0,2.0,2013-10-16T10:52:53Z,2013-10-22T15:55:46Z,1.5296274603431779,1.8237199852657625e-05,1.9999683772094037,1.5811282358725883e-05,0.5723672695349487,0.9427866808923928,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
1HXekcGafEnkkUvJBshcLC8D4fvFvPP7Hs,2.5,2.5,0.0,1,1,1,1,2.5,2.5,2016-04-14T16:45:22Z,2016-04-14T17:44:55Z,2.5,2.5,2.49988243,0.00011757,0.0,1.24988243,1.0,1.0,2.5,2.5
1Hxews6gEBZHY8AUTb9b4QVfCGj9APHdLk,7.2,7.2,0.0,5,5,5,10,1.44,1.44,2016-05-13T06:25:17Z,2016-06-06T08:21:45Z,2.4,1.2,2.22,5.5282222222222215e-05,0.48000000000000004,0.6821753836591891,0.20833333333333334,0.20833333333333334,0.3,0.3
1HXf8Cq3KzcWTcrdHjJFwDJwogeeN6XJmX,1.2,1.2,0.0,1,1,1,2,1.2,1.2,2016-05-30T23:22:40Z,2016-05-31T07:49:37Z,1.2,1.2,1.11125,7.142125e-05,0.0,0.5042289354152917,1.0,1.0,1.2,1.2
1HxfWcVHCusuV6H6wx6iv1EqvUyuNKg54y,0.8,0.8,0.0,1,1,1,1,0.8,0.8,2017-04-25T04:56:47Z,2017-04-25T05:03:36Z,0.8000000000000002,0.8000000000000002,0.79955574,0.00044426,0.0,0.39955574,1.0,1.0,0.8,0.8
1HXgSSLZSZQdkjt7tDKVkMMRNuXA1X7R5o,7.0,7.0,0.0,4,3,4,6,1.75,2.3333333333333335,2016-05-03T20:31:04Z,2016-05-06T09:22:37Z,3.8294455300000005,0.08526309,6.828742623408409,1.5820113353534374e-05,1.6903548060433669,2.139590096007681,2.0,1.5,3.5,3.5
1Hxj472u2VQWGXEApK3vMHxk8s7FSfuYRS,1.0,1.0,0.0,1,1,1,1,1.0,1.0,2017-02-11T08:35:12Z,2017-02-11T08:45:44Z,1.0,1.0,0.99985369,0.00014631,0.0,0.49985369,1.0,1.0,1.0,1.0
1HxMXr9JDfJrS6kg3JPmMLzH2zNzLKDauc,4.0999,4.0999,0.0,1,1,4,2,4.0999,4.0999,2016-08-09T13:45:27Z,2016-08-10T13:48:48Z,2.9897968070189385,0.014104296675186347,4.095337243624255,0.00011430031642458713,1.197902194119336,1.9294858501259213,1.0,1.0,4.0999,4.0999
1HXw9H9oQvaoeb8MNDXnanggk4D3hvMugo,3.0,3.0,0.0,1,1,1,2,3.0,3.0,2016-10-06T01:14:23Z,2016-10-07T18:19:34Z,2.9999999999999996,2.9999999999999996,2.9997344860013078,8.596324117861518e-05,0.0,1.4140258161402952,1.0,1.0,3.0,3.0
1HYas4xgnNhSqFNmebB67HWivJ2Km8iJnn,0.4,0.4,0.0,1,1,1,1,0.4,0.4,2017-07-17T10:39:27Z,2017-07-17T10:52:47Z,0.4,0.4,0.39885825,0.00114175,0.0,0.19885825000000001,1.0,1.0,0.4,0.4
1HyeGeDhutnhJXWAUmSJDeMDN27hMwn8Ec,0.375,0.375,0.0,1,1,1,1,0.375,0.375,2017-06-20T10:41:51Z,2017-06-20T11:04:12Z,0.375,0.375,0.37359015,0.00140985,0.0,0.18609015,1.0,1.0,0.375,0.375
1HyGnDACQ7MnsZEj81E2xSfJE5286JZFqy,1.97177698,1.97177698,0.0,1,1,1,2,1.97177698,1.97177698,2017-03-10T22:08:18Z,2017-04-16T21:13:29Z,1.97177698,1.97177698,1.965353066666426,2.5509889734716874e-05,0.0,0.9249658487244937,0.027777777777777776,0.027777777777777776,0.05477158277777778,0.05477158277777778
1HYHeBkQ8fgPFEtKVkCjCouZjwEbTm2HMW,0.5,0.5,0.0,1,1,1,2,0.5,0.5,2013-11-20T11:24:08Z,2013-11-26T12:08:37Z,0.5,0.5,0.49991323146803723,8.797644860203555e-06,0.0,0.23564090747034272,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
1HyHGXV5AhfMwZYsEQSUaWujwxkDXdVk7v,1.0,1.0,0.0,1,1,1,2,1.0,1.0,2016-03-23T06:58:58Z,2016-03-23T10:26:16Z,1.0,1.0,0.999892349289923,7.593282489742604e-06,0.0,0.471328401755554,1.0,1.0,1.0,1.0
1HYhS5iULKJmvhvGqiEEKBKvxA3qckowpy,0.8,0.8,0.0,1,1,1,1,0.8,0.8,2016-10-17T11:05:14Z,2016-10-17T11:20:19Z,0.8,0.8,0.79975395,0.00024605,0.0,0.39975395,1.0,1.0,0.8,0.8
1HYkY6xhCb4bKAmr9F4J6whmpgUpT6ysc5,1.0,1.0,0.0,1,1,1,1,1.0,1.0,2016-09-21T02:33:16Z,2016-09-21T02:39:13Z,1.0,1.0,0.9997715,0.0002285,0.0,0.4997715,1.0,1.0,1.0,1.0
1Hypt34h1yZB6QNPfTbzXAToqJV3t2rMSN,1.0,1.0,0.0,1,1,1,2,1.0,1.0,2016-03-29T05:47:54Z,2016-03-30T08:42:26Z,1.0,1.0,0.9998100360931422,3.569301832651796e-05,0.0,0.4712701985106264,1.0,1.0,1.0,1.0
1HyQPh4XZ1nd3NPpCwZUSJLJMoBnkSZMj2,1.25,1.25,0.0,1,1,1,1,1.25,1.25,2016-05-27T15:44:15Z,2016-05-27T15:59:42Z,1.25,1.25,1.24988634,0.00011365999999999999,0.0,0.62488634,1.0,1.0,1.25,1.25
1HyQzTcHKvfh97SU6YZoiNJrN6nkg7mwTu,0.75,0.75,0.0,1,1,4,1,0.75,0.75,2017-04-12T06:14:35Z,2017-04-12T06:41:10Z,0.24639437756082166,0.13524442071487236,0.74976276,0.00023724,0.040313486370846745,0.37476276,1.0,1.0,0.75,0.75
1HyrfU46xC9gqwXKpnzDBKfGpzK95cRJh2,3.0,3.0,0.0,1,1,2,2,3.0,3.0,2016-03-25T05:47:06Z,2016-03-25T09:05:36Z,2.960904266281424,0.03909573371857625,2.9996850330715277,1.2566580509046548e-05,1.4609042662814238,1.4139908520728628,1.0,1.0,3.0,3.0
1HYRZdZEv8RFsz36bMcZcQQe8zyy29Vk3q,0.32,0.32,0.0,1,1,1,1,0.32,0.32,2017-08-23T12:01:12Z,2017-08-23T12:12:53Z,0.32,0.32,0.31888465,0.00111535,0.0,0.15888465,1.0,1.0,0.32,0.32
1HYsM31uGzShVJzkAbVbCTwyCRNzk7xAcG,2.0,2.0,0.0,1,1,1,1,2.0,2.0,2013-10-11T18:45:13Z,2013-10-11T21:23:33Z,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0
1HySnsKYFdbcPTDvCh8e2EY9Um2W8sp4iA,2.0,2.0,0.0,1,1,2,2,2.0,2.0,2016-06-30T11:28:56Z,2016-07-05T00:41:33Z,1.1159749280027105,0.8840250719972895,1.99953004605431,6.639679461528863e-05,0.11597492800271048,0.9424767440114947,0.25,0.25,0.5,0.5
1HyTkVyv68rBkYozaLLueMNfGebDCpAFVZ,1509.3968,1509.3968,0.0,52,52,178,2,29.02686153846154,29.02686153846154,2014-03-05T19:20:10Z,2014-05-20T22:48:32Z,70.98880375209811,7.342785207148309e-05,77.7565,0.00013049934750326248,12.260240770432507,17.031182938039155,0.6842105263157895,0.6842105263157895,19.860484210526316,19.860484210526316
1HyTtTZJ3P26zwHbZL3N51h35sKEs4T2SW,0.8,0.8,0.0,1,1,1,1,0.8,0.8,2016-11-01T02:23:03Z,2016-11-01T02:30:22Z,0.8,0.8,0.7998872000000001,0.0001128,0.0,0.39988720000000005,1.0,1.0,0.8,0.8
1HYU7NLavasr2A4d95dAwvT9eUXYL37dvB,0.5,0.5,0.0,1,1,1,2,0.5,0.5,2016-07-18T04:07:13Z,2016-07-22T09:24:11Z,0.5,0.5,0.49993581029169537,1.4192377756884766e-05,0.0,0.2356568718708321,0.25,0.25,0.125,0.125
1HYv4jLUg8njAyboecuBRNGmqmyBFTtMLV,0.5,0.5,0.0,1,1,1,2,0.5,0.5,2016-03-21T10:56:31Z,2016-03-22T09:23:10Z,0.5,0.5,0.49993417840075854,3.5942589820086263e-06,0.0,0.23565571871204308,1.0,1.0,0.5,0.5
1HYwdm6UyBhwWmZKrD3h3XfLtF2MWSAoNj,0.8,0.8,0.0,1,1,1,1,0.8,0.8,2017-03-28T00:11:50Z,2017-03-28T01:17:00Z,0.8,0.8,0.79976504,0.00023496,0.0,0.39976504,1.0,1.0,0.8,0.8
1HYwdteQcKdU1qDNyc3jAQiZ4iPgNibUBk,1.25000009,1.25000009,0.0,2,2,5,2,0.625000045,0.625000045,2016-04-06T16:28:18Z,2016-04-06T20:44:42Z,0.6349433838805857,0.004164,1.24555786,0.00019335,0.238309096024078,0.5387033523228149,2.0,2.0,1.25000009,1.25000009
1HyWdzsRXccPPWn7kk4eaLFHyanrSgMbWS,3.0,3.0,0.0,2,2,5,4,1.5,1.5,2016-08-29T15:18:03Z,2016-08-30T08:23:16Z,0.7999017333333334,0.0003685,2.999139733375871,6.081121005966718e-08,0.3096578919365542,1.1176492756373335,2.0,2.0,3.0,3.0
1HYZvkbRYEXYo74KhDLXkJz1tmifiWbGKv,3.0,3.0,0.0,1,1,1,2,3.0,3.0,2016-03-23T10:17:49Z,2016-03-25T09:05:36Z,3.0,3.0,2.999841726352553,1.3402574724512962e-05,0.0,1.4141016470222505,1.0,1.0,3.0,3.0
1HZ55id8tgt7cXYLSJKeEuaAsZFgqNV3uz,0.5,0.5,0.0,1,1,2,2,0.5,0.5,2016-03-21T14:14:04Z,2016-03-30T08:42:26Z,0.40061893441916147,0.0993810655808386,0.4999050180465711,1.784650916325898e-05,0.15061893441916144,0.2356350992553132,0.125,0.125,0.0625,0.0625
1HZ5AFiFBZr6AqsaXkuFrtNYdAZLsBzesQ,23.7732756,23.7732756,0.0,37,37,59,107,0.6425209621621623,0.6425209621621623,2013-04-29T13:51:39Z,2013-11-09T23:22:38Z,1.58354362,0.00013468145692547458,1.2356694395207937,1.7901682368999628e-06,0.4181860758241143,0.2773521336060663,0.19072164948453607,0.19072164948453607,0.12254265773195877,0.12254265773195877
1Hz6unDLWUZdsNfgv6t9efPeBRXe4dq8DT,8.97,8.97,0.0,3,2,6,3,2.99,4.485,2015-09-15T17:47:42Z,2015-10-23T12:02:27Z,3.1482747511647973,0.0017252488352023148,6.279968140102376,3.1859897622176106e-05,1.3169666249231717,2.41871361123702,0.08108108108108109,0.05405405405405406,0.24243243243243245,0.24243243243243245
1HZ6vzRpxntAu9NyaEbyAx7RGbcM8dqgKW,0.5,0.5,0.0,1,1,1,1,0.5,0.5,2017-05-19T12:46:10Z,2017-05-19T15:08:26Z,0.5,0.5,0.49961932,0.00038068,0.0,0.24961931999999998,1.0,1.0,0.5,0.5
1Hz7dycuBKUCwrvF63z9LW7j2uSxSDtqm,0.8,0.8,0.0,1,1,5,1,0.8,0.8,2016-09-07T12:01:28Z,2016-09-07T12:23:30Z,0.5693192324688143,0.0005160891026681446,0.79973988,0.00026012,0.2214747880938716,0.39973988,1.0,1.0,0.8,0.8
1HZ7nSBYgCZbMcxmdyW6V6qdQYjYBHF9eU,1.0,1.0,0.0,1,1,2,2,1.0,1.0,2016-09-02T06:55:41Z,2016-09-10T14:45:12Z,0.8883985845664779,0.11160141543352214,0.9999158736778335,3.193186346375846e-05,0.38839858456647786,0.47134503457074034,0.125,0.125,0.125,0.125
1Hz7VKy9ycRmRdyE3cYFCJmzKZo2erFdzn,1.0,1.0,0.0,1,1,1,1,1.0,1.0,2016-10-31T07:53:11Z,2016-10-31T08:10:36Z,1.0,1.0,0.99973524,0.00026476,0.0,0.49973524,1.0,1.0,1.0,1.0
1Hz8GEM9GZEiFw9oZVwxMz9ifRjSgv13AE,0.5286,0.5286,0.0,2,2,6,2,0.2643,0.2643,2017-04-06T23:04:42Z,2017-04-07T01:43:45Z,0.5213301660618096,0.0003,0.5279677,0.00011999999999998679,0.19374898601088902,0.22852546874833232,2.0,2.0,0.5286,0.5286
1HZa4NfmYQHnvR6SR8FhY4eMU7EfGV7nVg,0.56,0.56,0.0,1,1,1,1,0.56,0.56,2016-12-26T10:15:30Z,2016-12-26T10:39:20Z,0.56,0.56,0.55981376,0.00018624,0.0,0.27981376,1.0,1.0,0.56,0.56
1HzBTarpbuKhBKuWdsKgZihmRJ2S22XNut,0.5,0.5,0.0,1,1,2,2,0.5,0.5,2016-03-19T09:30:19Z,2016-03-21T08:18:36Z,0.4995241720593834,0.00047582794061667305,0.49997333620093165,3.201338952832352e-06,0.24952417205938335,0.23568340638753232,1.0,1.0,0.5,0.5
1HzCfDWwiakAY87Rx1YkvvgYsBwq7Cngsr,4.02,4.02,0.0,1,1,1,2,4.02,4.02,2016-03-26T10:57:27Z,2016-03-28T08:16:02Z,4.02,4.02,4.019491954706588,0.00010256015086870687,0.0,1.894686935343829,1.0,1.0,4.02,4.02
1Hzci2iUdhdqRqmP2fXMUipbGp1p4CfK8q,2.0,2.0,0.0,1,1,2,1,2.0,2.0,2016-11-04T13:01:45Z,2016-11-04T13:21:06Z,1.857037219620409,0.14296278037959081,1.99974054,0.00025946,0.8570372196204091,0.99974054,1.0,1.0,2.0,2.0
